Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,320.60,325.10,328.00,320.00,321.00
05-19-2016,321.00,320.00,321.50,317.00,318.20
05-20-2016,318.20,320.00,324.00,318.10,318.40
05-20-2016,318.40,317.30,321.00,316.00,316.30
05-23-2016,316.30,320.95,323.60,293.05,300.85
05-24-2016,300.85,301.40,314.60,295.80,301.65
05-25-2016,301.65,305.00,316.50,302.00,305.55
05-26-2016,305.55,305.00,358.00,305.00,343.50
05-27-2016,343.50,349.40,387.90,332.10,381.20
05-30-2016,381.20,371.20,376.70,359.75,361.80
05-31-2016,361.80,366.60,381.55,355.00,360.90
06-01-2016,360.90,358.50,377.00,356.10,366.10
06-02-2016,366.10,364.50,367.50,353.50,355.50
06-04-2016,355.50,360.90,365.00,342.90,345.80
06-06-2016,345.80,350.00,353.25,340.00,341.45
06-07-2016,341.45,345.00,360.00,342.00,344.70
06-08-2016,344.70,348.90,369.00,343.15,354.50
06-09-2016,354.50,356.85,356.85,342.00,343.85
06-10-2016,343.85,343.05,353.00,340.55,343.45
06-13-2016,343.45,343.80,354.55,335.70,345.90
06-14-2016,345.90,352.80,358.25,346.50,351.05
06-15-2016,351.05,355.60,355.60,347.05,351.40
06-16-2016,351.40,355.00,355.00,344.55,345.55
06-17-2016,345.55,349.00,349.50,336.95,339.50
06-19-2016,339.50,342.00,348.00,339.15,340.05
06-21-2016,340.05,344.90,376.00,339.00,352.55
06-22-2016,352.55,353.40,357.35,347.00,349.25
06-23-2016,349.25,347.10,348.50,338.00,342.65
06-24-2016,342.65,330.10,335.00,313.00,331.10
06-27-2016,331.10,328.85,353.90,328.85,345.40
06-28-2016,345.40,345.60,353.00,339.15,340.65
06-29-2016,340.65,347.05,370.00,347.05,358.15
06-30-2016,358.15,362.00,367.00,345.20,349.70
07-01-2016,349.70,354.00,365.00,350.10,352.65
07-05-2016,352.65,358.60,364.60,353.00,355.30
07-05-2016,355.30,354.10,355.00,344.50,346.10
07-07-2016,346.10,347.70,350.50,341.50,342.65
07-08-2016,342.65,344.15,344.15,338.05,339.20
07-11-2016,339.20,345.50,352.50,343.00,350.05
07-12-2016,350.30,348.40,351.95,341.80,348.30
