Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,6.45,6.77,6.77,6.77,6.77
05-19-2016,6.45,6.77,6.77,6.77,6.77
05-19-2016,6.45,6.77,6.77,6.77,6.77
05-20-2016,6.45,6.77,6.77,6.77,6.77
05-23-2016,6.45,6.77,6.77,6.77,6.77
05-24-2016,6.45,6.77,6.77,6.77,6.77
05-25-2016,6.45,6.77,6.77,6.77,6.77
05-26-2016,6.77,7.10,7.10,6.50,6.50
05-27-2016,6.77,7.10,7.10,6.50,6.50
05-30-2016,6.77,7.10,7.10,6.50,6.50
05-31-2016,6.77,7.10,7.10,6.50,6.50
06-01-2016,6.77,7.10,7.10,6.50,6.50
06-02-2016,6.77,7.10,7.10,6.50,6.50
06-04-2016,6.77,7.10,7.10,6.50,6.50
06-06-2016,6.77,7.10,7.10,6.50,6.50
06-07-2016,6.77,7.10,7.10,6.50,6.50
06-08-2016,6.77,7.10,7.10,6.50,6.50
06-09-2016,6.77,7.10,7.10,6.50,6.50
06-10-2016,6.77,7.10,7.10,6.50,6.50
06-13-2016,6.77,7.10,7.10,6.50,6.50
06-14-2016,6.77,7.10,7.10,6.50,6.50
06-15-2016,6.50,6.18,6.18,6.18,6.18
06-16-2016,6.50,6.18,6.18,6.18,6.18
06-17-2016,6.50,6.18,6.18,6.18,6.18
06-19-2016,6.50,6.18,6.18,6.18,6.18
06-21-2016,6.18,6.48,6.48,6.48,6.48
06-22-2016,6.48,6.48,6.48,6.48,6.48
06-23-2016,6.48,6.48,6.48,6.48,6.48
06-24-2016,6.48,6.80,6.80,6.80,6.80
06-27-2016,6.48,6.80,6.80,6.80,6.80
06-28-2016,6.48,6.80,6.80,6.80,6.80
06-29-2016,6.48,6.80,6.80,6.80,6.80
06-30-2016,6.80,7.14,7.14,7.14,7.14
07-01-2016,7.14,7.49,7.49,7.49,7.49
07-05-2016,7.49,7.86,7.86,7.14,7.14
07-05-2016,7.49,7.86,7.86,7.14,7.14
07-07-2016,7.14,7.49,7.49,7.49,7.49
07-08-2016,7.49,7.14,7.14,7.14,7.14
07-11-2016,7.14,7.49,7.49,7.49,7.49
07-12-2016,7.14,7.49,7.49,7.49,7.49
