Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,57.80,57.80,57.90,53.35,53.65
05-19-2016,53.65,53.65,55.20,53.55,53.85
05-20-2016,53.85,54.20,54.20,51.40,52.15
05-21-2016,52.15,52.15,52.75,49.35,50.00
05-23-2016,50.00,50.10,51.70,50.00,50.15
05-24-2016,50.15,50.50,50.70,48.00,48.60
05-25-2016,48.60,49.00,49.60,48.20,48.75
05-26-2016,48.75,48.95,49.60,48.35,48.85
05-27-2016,48.85,49.20,50.00,48.70,49.85
05-30-2016,49.85,49.50,50.50,47.45,48.00
05-31-2016,48.00,48.15,48.80,46.90,47.25
06-01-2016,47.25,47.30,49.05,46.60,47.55
06-02-2016,47.55,47.50,48.25,47.00,47.75
06-04-2016,47.75,48.50,50.40,48.40,49.25
06-06-2016,49.25,49.75,51.55,49.45,50.45
06-07-2016,50.45,51.20,52.60,51.10,51.55
06-08-2016,51.55,52.45,57.20,51.55,56.20
06-09-2016,56.20,56.00,57.30,54.30,55.70
06-10-2016,55.70,54.40,58.45,54.40,57.65
06-13-2016,57.65,57.00,63.30,56.05,61.10
06-14-2016,61.10,61.95,63.90,59.50,61.00
06-15-2016,61.00,61.75,64.35,60.65,61.65
06-16-2016,61.65,62.75,64.40,58.00,61.55
06-17-2016,61.55,59.90,61.55,58.65,59.25
06-19-2016,59.25,58.90,63.50,58.25,62.20
06-21-2016,62.20,62.80,63.05,60.85,61.30
06-22-2016,61.30,62.00,62.70,59.80,61.20
06-23-2016,61.20,61.50,61.50,59.30,60.45
06-24-2016,60.45,58.10,58.95,53.10,58.65
06-27-2016,58.65,59.00,64.85,58.60,64.05
06-28-2016,64.05,64.70,67.40,63.60,64.85
06-29-2016,64.85,64.90,66.00,62.85,64.70
06-30-2016,64.70,66.70,67.55,64.35,64.75
07-01-2016,64.75,65.35,66.50,63.90,65.45
07-05-2016,65.45,68.00,68.00,65.75,66.30
07-05-2016,66.30,65.45,65.70,63.20,63.65
07-08-2016,63.65,63.85,66.65,63.25,64.25
07-08-2016,64.25,64.60,64.60,61.50,62.00
07-11-2016,62.00,62.75,63.50,61.80,62.00
07-12-2016,62.00,62.50,63.70,61.25,61.50
