Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,2.78,2.65,2.65,2.65,2.65
05-19-2016,2.78,2.65,2.65,2.65,2.65
05-19-2016,2.65,2.65,2.65,2.65,2.65
05-20-2016,2.65,2.78,2.78,2.78,2.78
05-23-2016,2.78,2.65,2.65,2.65,2.65
05-24-2016,2.78,2.65,2.65,2.65,2.65
05-25-2016,2.78,2.65,2.65,2.65,2.65
05-26-2016,2.78,2.65,2.65,2.65,2.65
05-27-2016,2.78,2.65,2.65,2.65,2.65
05-30-2016,2.65,2.52,2.52,2.52,2.52
05-31-2016,2.52,2.40,2.40,2.40,2.40
06-01-2016,2.40,2.40,2.40,2.28,2.28
06-02-2016,2.28,2.17,2.17,2.17,2.17
06-04-2016,2.28,2.17,2.17,2.17,2.17
06-06-2016,2.17,2.17,2.25,2.17,2.17
06-07-2016,2.17,2.17,2.25,2.17,2.17
06-08-2016,2.17,2.17,2.25,2.17,2.17
06-09-2016,2.17,2.07,2.07,2.07,2.07
06-10-2016,2.07,2.05,2.05,2.05,2.05
06-13-2016,2.07,2.05,2.05,2.05,2.05
06-14-2016,2.07,2.05,2.05,2.05,2.05
06-15-2016,2.07,2.05,2.05,2.05,2.05
06-16-2016,2.07,2.05,2.05,2.05,2.05
06-17-2016,2.05,2.05,2.05,2.05,2.05
06-19-2016,2.05,2.05,2.05,2.05,2.05
06-21-2016,2.05,2.05,2.05,2.05,2.05
06-22-2016,2.05,2.05,2.05,2.04,2.04
06-23-2016,2.04,2.03,2.03,2.00,2.00
06-24-2016,2.00,1.90,1.90,1.90,1.90
06-27-2016,1.90,1.90,1.90,1.90,1.90
06-28-2016,1.90,1.81,1.84,1.81,1.84
06-29-2016,1.84,1.75,1.77,1.75,1.75
06-30-2016,1.75,1.68,1.68,1.68,1.68
07-01-2016,1.68,1.60,1.60,1.60,1.60
07-05-2016,1.60,1.52,1.52,1.52,1.52
07-05-2016,1.52,1.45,1.45,1.45,1.45
07-07-2016,1.45,1.38,1.38,1.38,1.38
07-08-2016,1.38,1.32,1.32,1.32,1.32
07-11-2016,1.32,1.26,1.26,1.26,1.26
07-12-2016,1.26,1.20,1.20,1.20,1.20
