Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,355.50,375.00,375.00,375.00,375.00
05-19-2016,375.00,376.00,385.00,376.00,385.00
05-20-2016,385.00,375.00,397.00,355.00,376.20
05-21-2016,376.20,390.00,390.00,356.00,368.10
05-23-2016,368.10,375.00,375.00,365.00,365.50
05-24-2016,365.50,360.00,375.00,340.00,341.30
05-25-2016,341.30,350.00,350.00,350.00,350.00
05-26-2016,350.00,340.00,375.00,340.00,374.45
05-27-2016,374.45,375.00,388.00,375.00,388.00
05-30-2016,388.00,390.00,390.00,390.00,390.00
05-31-2016,390.00,335.10,382.95,335.05,338.70
06-01-2016,338.70,350.00,398.00,315.00,365.85
06-02-2016,365.85,395.00,395.00,355.20,367.20
06-04-2016,367.20,380.00,380.00,361.35,364.55
06-06-2016,364.55,360.00,395.00,360.00,395.00
06-07-2016,387.10,375.00,395.00,360.50,392.90
06-08-2016,392.90,394.00,394.90,394.00,394.90
06-09-2016,392.90,394.00,394.90,394.00,394.90
06-10-2016,394.90,380.00,442.00,372.30,397.40
06-13-2016,397.40,400.00,418.95,382.00,418.95
06-14-2016,418.95,419.00,428.85,382.50,400.00
06-15-2016,418.95,419.00,428.85,382.50,400.00
06-16-2016,400.00,391.00,446.90,375.00,417.85
06-17-2016,417.85,449.85,449.90,407.05,434.95
06-19-2016,434.95,407.40,482.00,407.30,480.35
06-21-2016,434.95,407.40,482.00,407.30,480.35
06-22-2016,480.35,460.00,497.90,445.10,474.70
06-23-2016,474.70,474.50,474.50,443.00,474.50
06-24-2016,474.50,445.00,498.00,445.00,490.50
06-27-2016,490.50,480.00,500.00,461.00,484.20
06-28-2016,484.20,500.00,500.00,450.35,471.25
06-29-2016,471.25,446.15,490.00,446.15,470.30
06-30-2016,470.30,488.00,488.00,485.00,485.70
07-01-2016,485.70,485.00,485.00,482.00,484.00
07-05-2016,484.00,522.00,522.00,445.50,483.00
07-05-2016,483.00,460.00,481.00,455.00,476.25
07-08-2016,476.25,455.50,488.00,450.00,488.00
07-08-2016,488.00,520.00,524.00,440.00,459.25
07-11-2016,459.25,460.00,470.00,450.00,467.95
07-12-2016,467.50,441.40,474.00,441.40,464.25
