Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,3.44,3.27,3.27,3.27,3.27
05-19-2016,3.27,3.11,3.11,3.11,3.11
05-19-2016,3.11,2.96,2.96,2.96,2.96
05-20-2016,2.96,2.82,3.10,2.82,3.10
05-23-2016,3.10,3.00,3.00,3.00,3.00
05-24-2016,3.10,3.00,3.00,3.00,3.00
05-25-2016,3.00,3.15,3.15,3.15,3.15
05-26-2016,3.00,3.15,3.15,3.15,3.15
05-27-2016,3.15,3.30,3.30,3.20,3.20
05-30-2016,3.20,3.04,3.04,3.04,3.04
05-31-2016,3.20,3.04,3.04,3.04,3.04
06-01-2016,3.04,3.04,3.04,3.04,3.04
06-02-2016,3.04,3.04,3.04,3.04,3.04
06-04-2016,3.04,3.04,3.04,3.04,3.04
06-06-2016,3.04,3.00,3.00,3.00,3.00
06-07-2016,3.04,3.00,3.00,3.00,3.00
06-08-2016,3.00,3.00,3.00,3.00,3.00
06-09-2016,3.00,3.00,3.00,3.00,3.00
06-10-2016,3.00,2.95,2.95,2.95,2.95
06-13-2016,2.95,3.09,3.09,3.09,3.09
06-14-2016,2.95,3.09,3.09,3.09,3.09
06-15-2016,2.95,3.09,3.09,3.09,3.09
06-16-2016,3.09,3.24,3.24,3.24,3.24
06-17-2016,3.09,3.24,3.24,3.24,3.24
06-19-2016,3.24,3.08,3.08,3.08,3.08
06-21-2016,3.24,3.08,3.08,3.08,3.08
06-22-2016,3.24,3.08,3.08,3.08,3.08
06-23-2016,3.08,2.93,3.23,2.93,3.23
06-24-2016,3.08,2.93,3.23,2.93,3.23
06-27-2016,3.23,3.23,3.23,3.23,3.23
06-28-2016,3.23,3.39,3.39,3.10,3.39
06-29-2016,3.39,3.39,3.39,3.39,3.39
06-30-2016,3.39,3.23,3.55,3.23,3.55
07-01-2016,3.55,3.72,3.72,3.72,3.72
07-05-2016,3.55,3.72,3.72,3.72,3.72
07-05-2016,3.72,3.90,3.90,3.90,3.90
07-07-2016,3.90,4.09,4.09,4.09,4.09
07-08-2016,4.09,4.29,4.29,4.29,4.29
07-11-2016,4.29,4.29,4.29,4.29,4.29
07-12-2016,4.29,4.50,4.50,4.50,4.50
07-13-2016,4.50,4.72,4.72,4.72,4.72
