Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,2.54,2.46,2.46,2.45,2.45
05-19-2016,2.54,2.46,2.46,2.45,2.45
05-20-2016,2.54,2.46,2.46,2.45,2.45
05-21-2016,2.54,2.46,2.46,2.45,2.45
05-23-2016,2.54,2.46,2.46,2.45,2.45
05-24-2016,2.54,2.46,2.46,2.45,2.45
05-25-2016,2.54,2.46,2.46,2.45,2.45
05-26-2016,2.54,2.46,2.46,2.45,2.45
05-27-2016,2.54,2.46,2.46,2.45,2.45
05-30-2016,2.54,2.46,2.46,2.45,2.45
05-31-2016,2.54,2.46,2.46,2.45,2.45
06-01-2016,2.54,2.46,2.46,2.45,2.45
06-02-2016,2.54,2.46,2.46,2.45,2.45
06-04-2016,2.54,2.46,2.46,2.45,2.45
06-06-2016,2.54,2.46,2.46,2.45,2.45
06-07-2016,2.45,2.50,2.50,2.35,2.50
06-08-2016,2.45,2.50,2.50,2.35,2.50
06-09-2016,2.45,2.50,2.50,2.35,2.50
06-10-2016,2.45,2.50,2.50,2.35,2.50
06-13-2016,2.45,2.50,2.50,2.35,2.50
06-14-2016,2.50,2.41,2.41,2.41,2.41
06-15-2016,2.50,2.41,2.41,2.41,2.41
06-16-2016,2.50,2.41,2.41,2.41,2.41
06-17-2016,2.50,2.41,2.41,2.41,2.41
06-19-2016,2.50,2.41,2.41,2.41,2.41
06-21-2016,2.50,2.41,2.41,2.41,2.41
06-22-2016,2.41,2.30,2.30,2.30,2.30
06-23-2016,2.41,2.30,2.30,2.30,2.30
06-24-2016,2.30,2.19,2.19,2.19,2.19
06-27-2016,2.30,2.19,2.19,2.19,2.19
06-28-2016,2.30,2.19,2.19,2.19,2.19
06-29-2016,2.30,2.19,2.19,2.19,2.19
06-30-2016,2.30,2.19,2.19,2.19,2.19
07-01-2016,2.30,2.19,2.19,2.19,2.19
07-05-2016,2.19,2.10,2.10,2.10,2.10
07-05-2016,2.10,2.00,2.00,2.00,2.00
07-08-2016,2.10,2.00,2.00,2.00,2.00
07-08-2016,2.10,2.00,2.00,2.00,2.00
07-11-2016,2.10,2.00,2.00,2.00,2.00
07-12-2016,2.10,2.00,2.00,2.00,2.00
