Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,18.60,18.70,19.45,18.65,19.20
05-19-2016,19.20,17.60,18.70,17.50,18.45
05-19-2016,18.45,18.45,18.70,17.55,17.70
05-20-2016,17.70,18.00,18.10,17.75,17.85
05-23-2016,17.85,17.80,18.00,16.65,16.80
05-24-2016,16.80,16.85,17.20,16.70,17.05
05-25-2016,17.05,17.15,17.30,17.00,17.15
05-26-2016,17.15,17.15,17.85,17.00,17.60
05-27-2016,17.60,17.80,18.00,17.60,17.75
05-30-2016,17.75,18.30,18.30,17.10,17.55
05-31-2016,17.55,17.60,18.00,16.45,17.45
06-01-2016,17.45,17.60,17.80,16.75,17.30
06-02-2016,17.30,17.35,17.50,17.15,17.40
06-04-2016,17.40,17.50,17.65,17.15,17.50
06-06-2016,17.50,17.50,17.70,17.30,17.50
06-07-2016,17.50,17.60,17.90,17.60,17.80
06-08-2016,17.80,17.60,18.40,17.60,18.10
06-09-2016,18.10,18.00,18.65,18.00,18.25
06-10-2016,18.25,18.45,18.65,18.30,18.35
06-13-2016,18.35,18.25,18.40,18.05,18.15
06-14-2016,18.15,18.30,18.70,18.30,18.60
06-15-2016,18.60,18.65,19.40,18.60,19.20
06-16-2016,19.20,19.35,20.85,19.25,20.50
06-17-2016,20.50,20.75,22.10,20.45,21.80
06-19-2016,21.80,21.50,23.65,20.70,22.60
06-21-2016,22.60,22.90,23.35,22.20,22.45
06-22-2016,22.45,22.55,23.20,22.20,22.40
06-23-2016,22.40,22.75,22.75,22.15,22.40
06-24-2016,22.40,22.35,22.35,20.75,21.40
06-27-2016,21.40,22.00,22.50,21.30,22.35
06-28-2016,22.35,22.50,22.95,22.35,22.55
06-29-2016,22.55,22.55,22.80,22.30,22.40
06-30-2016,22.40,22.60,22.90,22.15,22.30
07-01-2016,22.30,22.30,22.80,22.30,22.45
07-05-2016,22.45,22.60,23.50,22.45,22.95
07-05-2016,22.95,23.00,23.70,22.85,23.25
07-07-2016,23.25,24.00,25.30,23.40,24.20
07-08-2016,24.20,24.30,24.60,23.70,24.30
07-11-2016,24.30,24.75,25.20,24.50,24.75
07-12-2016,24.80,24.80,25.25,24.30,24.40
07-13-2016,24.40,24.50,24.55,24.00,24.15
