Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,5.15,5.03,5.29,5.03,5.29

06-08-2016,5.29,5.29,5.50,4.77,5.22
06-09-2016,5.22,5.48,5.50,5.13,5.24
06-10-2016,5.24,5.49,5.75,5.12,5.66
06-13-2016,5.66,5.69,6.00,5.69,5.76
06-14-2016,5.76,6.29,6.91,5.80,6.91
06-15-2016,6.91,7.25,8.18,7.01,7.39
06-16-2016,7.39,7.39,7.39,6.66,6.80
06-17-2016,6.80,6.61,6.98,6.23,6.44
06-19-2016,6.44,6.80,6.80,6.20,6.55
06-21-2016,6.55,6.80,6.80,6.35,6.40
06-22-2016,6.40,6.78,6.78,6.21,6.32
06-23-2016,6.32,6.00,6.25,5.75,6.03
06-24-2016,6.03,6.19,6.20,5.61,6.15
06-27-2016,6.15,6.56,6.76,6.18,6.74
06-28-2016,6.74,6.39,6.74,6.31,6.49
06-29-2016,6.49,6.40,7.03,6.35,6.41
06-30-2016,6.41,6.47,7.00,6.40,6.45
07-01-2016,6.45,6.90,6.90,6.24,6.44
07-05-2016,6.44,6.83,6.83,6.41,6.48
07-05-2016,6.48,6.76,6.76,6.13,6.64
07-07-2016,6.64,6.41,6.90,6.41,6.63
07-08-2016,6.63,6.89,6.90,6.43,6.50
07-11-2016,6.50,6.42,6.79,6.41,6.47
07-12-2016,6.47,6.19,6.60,5.60,6.00
