Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,63.00,62.50,65.55,59.15,60.65
05-19-2016,60.65,59.25,65.80,59.25,64.75
05-19-2016,64.75,65.15,73.70,65.15,70.40
05-20-2016,70.40,72.00,74.80,65.25,66.65
05-23-2016,66.65,68.20,72.40,67.65,70.00
05-24-2016,70.00,71.10,71.20,67.20,67.95
05-25-2016,67.95,68.35,69.65,65.80,66.40
05-26-2016,66.40,67.50,67.50,60.00,62.05
05-27-2016,62.05,63.90,66.00,62.10,63.40
05-30-2016,63.40,57.10,57.20,57.10,57.10
05-31-2016,57.10,53.00,54.75,51.40,52.95
06-01-2016,52.95,52.50,55.55,52.50,55.40
06-02-2016,55.40,55.00,55.00,52.65,52.80
06-04-2016,52.80,53.00,54.45,52.00,52.75
06-06-2016,52.75,52.50,52.90,51.70,51.80
06-07-2016,51.85,52.35,53.50,52.35,53.05
06-08-2016,53.05,53.40,54.45,52.55,53.15
06-09-2016,53.15,53.00,54.10,51.60,52.00
06-10-2016,52.00,52.70,53.10,51.50,51.55
06-13-2016,51.55,51.10,51.15,49.00,50.70
06-14-2016,50.70,50.20,53.20,49.95,52.00
06-15-2016,52.00,51.15,51.70,50.50,51.30
06-16-2016,51.30,51.25,52.80,50.15,51.00
06-17-2016,51.00,51.60,52.40,51.45,51.85
06-19-2016,51.85,51.50,54.40,51.00,54.30
06-21-2016,54.30,54.90,56.50,54.00,56.05
06-22-2016,56.05,56.50,57.50,54.75,55.25
06-23-2016,55.25,55.25,56.85,54.65,55.35
06-24-2016,55.35,53.70,53.90,52.60,53.70
06-27-2016,53.70,53.50,55.95,52.40,54.85
06-28-2016,54.85,54.30,56.15,53.50,55.45
06-29-2016,55.45,56.90,58.20,56.75,58.20
06-30-2016,58.20,59.80,60.80,56.20,56.70
07-01-2016,56.70,56.95,62.35,56.95,62.35
07-05-2016,62.35,64.05,67.70,63.05,65.30
07-05-2016,65.30,65.50,65.90,62.00,62.30
07-07-2016,62.30,62.95,66.90,62.80,64.05
07-08-2016,64.05,64.70,64.85,62.55,62.85
07-11-2016,62.85,63.50,64.90,61.00,61.80
07-12-2016,61.80,63.30,63.30,60.55,61.15
