Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,28.55,29.95,29.95,29.95,29.95
05-19-2016,29.95,29.70,29.70,29.70,29.70
05-20-2016,29.70,28.85,28.85,28.55,28.55
05-21-2016,28.55,29.85,29.85,29.00,29.00
05-23-2016,28.55,29.85,29.85,29.00,29.00
05-24-2016,29.00,28.95,30.15,28.90,28.90
05-25-2016,28.90,28.90,29.95,28.90,29.95
05-26-2016,29.95,28.85,28.85,28.85,28.85
05-27-2016,29.95,28.85,28.85,28.85,28.85
05-30-2016,29.95,28.85,28.85,28.85,28.85
05-31-2016,28.85,30.25,30.25,30.25,30.25
06-01-2016,30.25,31.75,31.75,31.75,31.75
06-02-2016,31.75,33.30,33.30,32.00,33.20
06-04-2016,33.20,34.60,34.60,34.60,34.60
06-06-2016,34.60,35.80,36.00,34.40,34.95
06-07-2016,35.75,36.40,36.50,34.70,35.35
06-08-2016,35.35,36.25,36.50,33.60,36.05
06-09-2016,36.05,36.25,36.25,34.25,34.25
06-10-2016,34.25,35.00,35.00,33.10,35.00
06-13-2016,35.00,34.50,34.50,33.50,33.55
06-14-2016,33.55,34.50,34.50,34.45,34.50
06-15-2016,34.50,33.20,34.50,33.20,33.80
06-16-2016,33.80,33.30,35.20,33.30,35.15
06-17-2016,35.15,36.90,36.90,33.90,34.05
06-19-2016,34.05,35.60,35.60,34.00,34.00
06-21-2016,34.00,33.50,33.50,33.50,33.50
06-22-2016,34.00,33.50,33.50,33.50,33.50
06-23-2016,33.50,33.50,33.50,33.50,33.50
06-24-2016,33.50,31.85,33.95,31.85,33.95
06-27-2016,33.95,32.50,35.40,32.50,32.70
06-28-2016,32.70,32.15,34.00,32.10,34.00
06-29-2016,34.00,34.45,34.45,33.10,33.30
06-30-2016,33.30,33.40,34.95,33.25,34.20
07-01-2016,34.20,33.00,35.35,33.00,35.35
07-05-2016,34.20,33.00,35.35,33.00,35.35
07-05-2016,35.35,33.00,35.45,33.00,33.30
07-08-2016,33.30,35.05,35.10,33.30,34.05
07-08-2016,34.05,33.00,33.00,33.00,33.00
07-11-2016,33.00,34.00,34.90,32.10,32.80
07-12-2016,34.30,34.85,34.85,33.40,34.00
