Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,56.70,54.00,54.00,53.90,53.90
05-19-2016,53.90,56.55,56.55,51.50,56.55
05-20-2016,56.55,57.00,57.50,57.00,57.25
05-21-2016,57.25,60.00,60.00,58.00,58.00
05-23-2016,58.00,57.90,57.90,55.50,55.50
05-24-2016,58.00,57.90,57.90,55.50,55.50
05-25-2016,55.50,55.50,55.50,55.50,55.50
05-26-2016,55.50,55.50,55.50,55.50,55.50
05-27-2016,55.50,53.10,55.50,52.85,55.50
05-30-2016,55.50,53.10,55.50,52.85,55.50
05-31-2016,55.50,53.10,55.50,52.85,55.50
06-01-2016,55.50,55.50,56.00,55.50,56.00
06-02-2016,55.50,55.50,56.00,55.50,56.00
06-04-2016,56.00,54.00,54.00,54.00,54.00
06-06-2016,54.00,51.50,51.50,51.50,51.50
06-07-2016,54.00,51.50,51.50,51.50,51.50
06-08-2016,51.50,49.05,49.05,49.05,49.05
06-09-2016,49.05,50.15,51.50,50.15,50.70
06-10-2016,50.70,53.15,53.20,50.15,52.95
06-13-2016,52.95,50.40,55.55,50.40,55.55
06-14-2016,55.55,58.30,58.30,53.40,58.30
06-15-2016,58.30,61.15,61.15,57.00,60.00
06-16-2016,60.00,62.80,62.80,57.00,58.65
06-17-2016,58.65,60.90,61.55,56.00,58.60
06-19-2016,58.60,60.70,60.70,58.00,60.70
06-21-2016,60.70,61.95,62.40,61.95,62.40
06-22-2016,62.40,60.50,60.50,59.30,59.30
06-23-2016,59.30,62.00,62.00,56.35,56.35
06-24-2016,56.35,53.55,53.55,53.55,53.55
06-27-2016,53.55,55.55,55.55,55.55,55.55
06-28-2016,55.55,58.00,58.00,55.00,55.00
06-29-2016,55.55,58.00,58.00,55.00,55.00
06-30-2016,55.00,56.60,57.00,56.60,56.80
07-01-2016,55.00,56.60,57.00,56.60,56.80
07-05-2016,56.80,54.00,57.00,54.00,56.80
07-05-2016,56.80,59.60,59.60,54.10,59.50
07-08-2016,59.50,62.45,62.45,56.65,56.75
07-08-2016,56.75,53.95,59.55,53.95,59.55
07-11-2016,59.55,62.00,62.00,57.10,62.00
07-12-2016,62.00,62.95,62.95,59.00,59.00
