Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,1122.00,1125.00,1153.00,1100.00,1120.00
05-19-2016,1120.00,1120.00,1170.00,1120.00,1166.00
05-19-2016,1166.00,1108.00,1108.00,1108.00,1108.00
05-20-2016,1108.00,1095.00,1095.00,1090.00,1090.00
05-23-2016,1090.00,1144.00,1144.00,1076.00,1084.50
05-24-2016,1084.50,1138.70,1138.70,1138.70,1138.70
05-25-2016,1138.70,1098.50,1149.00,1082.00,1149.00
05-26-2016,1149.00,1100.00,1149.00,1100.00,1149.00
05-27-2016,1149.00,1100.00,1149.00,1100.00,1149.00
05-30-2016,1149.00,1148.00,1148.00,1147.90,1147.95
05-31-2016,1147.95,1091.00,1095.00,1090.60,1091.85
06-01-2016,1091.85,1060.00,1060.00,1060.00,1060.00
06-02-2016,1060.00,1015.00,1015.00,1015.00,1015.00
06-04-2016,1015.00,1055.00,1055.00,1041.65,1044.20
06-06-2016,1015.00,1055.00,1055.00,1041.65,1044.20
06-07-2016,1044.20,995.00,1096.00,995.00,1096.00
06-08-2016,1096.00,1136.90,1137.00,1065.00,1106.00
06-09-2016,1106.00,1120.00,1120.00,1076.00,1116.90
06-10-2016,1116.90,1115.90,1127.00,1101.00,1112.60
06-13-2016,1112.60,1061.00,1160.00,1061.00,1136.05
06-14-2016,1136.05,1146.00,1185.00,1136.00,1172.75
06-15-2016,1172.75,1190.00,1190.00,1151.00,1170.00
06-16-2016,1172.75,1190.00,1190.00,1151.00,1170.00
06-17-2016,1170.00,1135.00,1160.00,1111.50,1160.00
06-19-2016,1170.00,1135.00,1160.00,1111.50,1160.00
06-21-2016,1170.00,1135.00,1160.00,1111.50,1160.00
06-22-2016,1160.00,1102.00,1105.00,1102.00,1105.00
06-23-2016,1105.00,1063.05,1139.70,1062.95,1104.85
06-24-2016,1105.00,1063.05,1139.70,1062.95,1104.85
06-27-2016,1104.85,1151.00,1160.00,1101.10,1101.10
06-28-2016,1101.10,1115.00,1115.00,1115.00,1115.00
06-29-2016,1115.00,1143.50,1170.00,1106.00,1170.00
06-30-2016,1115.00,1143.50,1170.00,1106.00,1170.00
07-01-2016,1170.00,1138.00,1195.00,1129.00,1140.00
07-05-2016,1140.00,1158.00,1158.00,1110.00,1134.00
07-05-2016,1134.00,1149.15,1149.15,1100.00,1100.00
07-07-2016,1100.00,1107.00,1199.95,1107.00,1199.95
07-08-2016,1199.95,1129.00,1228.00,1129.00,1168.20
07-11-2016,1168.20,1168.20,1168.20,1168.20,1168.20
07-12-2016,1168.20,1190.00,1190.00,1148.00,1148.00
