Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,359.00,361.50,361.60,357.90,358.00
05-19-2016,358.00,360.00,360.30,359.00,359.00
05-20-2016,359.00,362.00,362.20,359.00,359.00
05-20-2016,359.00,360.00,360.00,358.00,360.00
05-23-2016,360.00,360.10,360.50,355.80,355.85
05-24-2016,355.85,358.50,358.70,348.75,357.20
05-25-2016,357.20,354.00,356.00,350.10,356.00
05-26-2016,356.00,356.00,357.00,354.60,355.75
05-27-2016,355.75,358.00,358.70,352.50,357.50
05-30-2016,357.50,357.60,361.00,356.40,360.00
05-31-2016,360.00,360.50,361.00,360.00,361.00
06-01-2016,361.00,362.50,367.00,362.45,366.00
06-02-2016,366.00,373.00,373.30,368.00,368.20
06-04-2016,368.20,371.00,374.00,367.20,372.65
06-06-2016,372.65,372.50,372.75,370.30,371.00
06-07-2016,371.00,372.50,372.60,370.05,372.50
06-08-2016,372.50,372.50,372.80,371.00,372.50
06-09-2016,372.50,375.75,377.00,375.50,376.50
06-10-2016,376.50,378.50,379.60,378.00,378.85
06-13-2016,378.85,375.75,379.00,375.20,378.75
06-14-2016,378.75,377.00,378.90,377.00,378.90
06-15-2016,378.90,378.75,379.20,378.75,379.00
06-16-2016,379.00,378.90,380.00,378.30,379.85
06-17-2016,379.85,380.00,380.00,376.00,379.50
06-19-2016,379.50,375.00,380.50,375.00,380.00
06-21-2016,380.00,379.50,379.70,377.80,378.90
06-22-2016,378.90,379.75,379.90,379.00,379.90
06-23-2016,379.90,379.50,379.60,374.15,379.60
06-24-2016,379.60,379.70,379.70,379.70,379.70
06-27-2016,379.70,379.75,379.75,379.20,379.70
06-28-2016,379.70,379.85,379.90,378.50,379.60
06-29-2016,379.60,380.00,380.90,375.00,380.75
06-30-2016,380.75,379.50,380.60,379.50,380.00
07-01-2016,380.00,380.00,380.15,379.50,379.90
07-05-2016,379.90,379.75,380.00,379.50,379.65
07-05-2016,379.65,380.00,380.00,372.10,379.20
07-07-2016,379.20,379.25,380.00,379.25,380.00
07-08-2016,380.00,379.50,380.00,379.40,380.00
07-11-2016,380.00,379.50,380.05,379.50,380.00
07-12-2016,380.00,380.00,380.00,379.60,379.60
