Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,9.11,9.16,9.64,9.11,9.15
05-19-2016,9.15,9.10,9.10,8.50,8.96
05-20-2016,8.96,8.91,8.95,8.75,8.75
05-21-2016,8.75,8.60,9.29,8.60,9.13
05-23-2016,9.13,9.00,9.12,8.80,8.92
05-24-2016,8.92,8.63,8.65,8.62,8.65
05-25-2016,8.92,8.63,8.65,8.62,8.65
05-26-2016,8.65,8.70,8.70,8.61,8.62
05-27-2016,8.62,8.98,8.99,8.61,8.61
05-30-2016,8.61,8.66,8.87,8.51,8.74
05-31-2016,8.74,8.60,8.60,8.60,8.60
06-01-2016,8.60,8.99,8.99,8.99,8.99
06-02-2016,8.99,8.65,8.65,8.65,8.65
06-04-2016,8.65,8.61,8.96,8.61,8.88
06-06-2016,8.88,8.75,8.75,8.71,8.71
06-07-2016,8.71,8.71,8.71,8.50,8.50
06-08-2016,8.50,9.00,9.00,8.56,8.62
06-09-2016,8.62,8.63,9.06,8.63,8.68
06-10-2016,8.68,9.06,9.06,8.70,8.76
06-13-2016,8.76,8.75,8.98,8.01,8.88
06-14-2016,8.88,8.72,9.09,8.71,9.09
06-15-2016,9.09,9.00,9.60,8.78,9.20
06-16-2016,9.20,9.05,9.64,9.05,9.17
06-17-2016,9.17,9.90,10.90,9.41,9.50
06-19-2016,9.50,9.50,10.29,9.50,10.25
06-21-2016,10.25,10.25,10.30,9.80,10.20
06-22-2016,10.20,10.39,11.05,10.00,10.08
06-23-2016,10.08,10.50,10.50,9.75,9.78
06-24-2016,9.78,9.70,9.70,9.30,9.50
06-27-2016,9.50,9.94,10.25,9.90,10.20
06-28-2016,9.50,9.94,10.25,9.90,10.20
06-29-2016,10.20,10.10,10.10,9.70,9.83
06-30-2016,9.83,9.74,10.00,9.51,9.62
07-01-2016,9.62,10.10,10.10,9.70,10.00
07-05-2016,10.00,10.49,10.49,10.03,10.11
07-05-2016,10.11,10.30,10.49,10.20,10.46
07-08-2016,10.46,10.49,11.25,10.29,11.11
07-08-2016,11.11,10.72,11.45,10.72,10.92
07-11-2016,10.92,11.35,11.35,10.50,11.00
07-12-2016,11.00,10.60,10.60,10.60,10.60
