Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,80.80,81.40,81.40,75.00,75.85
05-19-2016,75.85,75.85,78.50,75.80,77.60
05-20-2016,77.60,77.55,78.70,76.00,76.45
05-20-2016,76.45,76.45,77.30,74.00,74.25
05-23-2016,74.25,75.00,76.20,72.20,72.40
05-24-2016,72.40,72.50,72.50,70.00,71.05
05-25-2016,71.05,72.00,72.20,70.10,71.20
05-26-2016,71.20,72.00,72.70,71.60,72.00
05-27-2016,72.00,72.55,74.00,72.55,73.60
05-30-2016,73.60,74.60,74.60,73.00,73.15
05-31-2016,73.15,73.00,73.00,71.80,72.75
06-01-2016,72.75,72.50,72.95,71.00,71.65
06-02-2016,71.65,71.70,74.70,71.35,72.95
06-04-2016,72.95,73.15,73.15,71.50,71.60
06-06-2016,71.60,71.00,72.00,70.45,71.05
06-07-2016,71.05,72.00,74.00,70.20,72.15
06-08-2016,72.15,73.45,74.00,72.75,73.10
06-09-2016,73.10,73.50,74.95,72.50,73.15
06-10-2016,73.15,73.20,73.70,72.55,72.60
06-13-2016,72.60,73.00,73.00,70.10,71.10
06-14-2016,71.10,71.95,73.00,71.00,71.45
06-15-2016,71.45,71.40,72.60,71.40,71.80
06-16-2016,71.80,71.05,71.10,70.60,70.90
06-17-2016,70.90,72.00,72.00,70.10,70.70
06-19-2016,70.70,70.00,71.50,69.80,70.65
06-21-2016,70.65,70.35,72.80,70.10,71.95
06-22-2016,71.95,70.90,72.00,70.90,71.90
06-23-2016,71.90,72.85,72.85,71.10,72.00
06-24-2016,72.00,68.40,69.60,67.65,69.30
06-27-2016,69.30,69.50,71.00,69.50,70.55
06-28-2016,70.55,68.75,72.45,68.75,69.90
06-29-2016,69.90,71.15,71.55,70.35,71.40
06-30-2016,71.40,72.30,73.50,72.00,72.55
07-01-2016,72.55,73.50,74.70,73.00,74.05
07-05-2016,74.05,74.80,75.00,73.70,73.90
07-05-2016,73.90,74.10,82.20,73.60,77.45
07-07-2016,77.45,78.00,78.60,75.50,76.70
07-08-2016,76.70,78.00,79.55,76.75,79.20
07-11-2016,79.20,80.30,81.00,77.40,77.75
07-12-2016,77.75,77.75,79.15,77.15,77.50
