Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,69.50,69.50,70.40,67.00,67.40
05-19-2016,67.40,65.50,69.40,65.50,69.40
05-20-2016,69.40,69.00,70.90,66.00,67.00
05-21-2016,67.00,67.50,67.50,65.00,65.15
05-23-2016,65.15,68.00,68.40,68.00,68.40
05-24-2016,68.40,68.00,69.75,68.00,69.60
05-25-2016,69.60,66.15,70.50,66.15,68.55
05-26-2016,68.55,66.15,68.85,65.15,65.45
05-27-2016,65.45,62.20,62.20,62.20,62.20
05-30-2016,62.20,59.10,59.10,59.10,59.10
05-31-2016,59.10,56.15,56.15,56.15,56.15
06-01-2016,56.15,53.35,53.35,53.35,53.35
06-02-2016,53.35,50.70,55.00,50.70,50.70
06-04-2016,50.70,49.80,50.00,49.80,49.80
06-06-2016,49.80,47.35,47.35,47.35,47.35
06-07-2016,47.35,45.00,49.60,45.00,47.75
06-08-2016,47.75,50.10,50.10,48.75,50.05
06-09-2016,50.05,51.00,52.50,49.00,50.80
06-10-2016,50.80,49.00,52.85,48.35,49.00
06-13-2016,49.00,46.55,51.00,46.55,50.25
06-14-2016,50.25,51.00,52.75,47.75,48.00
06-15-2016,48.00,49.90,50.40,49.50,49.65
06-16-2016,49.65,51.60,52.10,50.10,52.10
06-17-2016,52.10,53.95,53.95,50.40,51.70
06-19-2016,51.70,52.00,54.00,50.50,51.50
06-21-2016,51.50,49.20,54.00,49.20,53.40
06-22-2016,53.40,54.40,54.40,51.20,52.25
06-23-2016,52.25,54.70,54.70,52.20,54.00
06-24-2016,54.00,55.00,55.00,51.30,54.00
06-27-2016,54.00,54.00,55.50,51.60,53.95
06-28-2016,53.95,52.60,56.55,52.50,54.95
06-29-2016,54.95,57.00,57.00,54.15,54.85
06-30-2016,54.85,56.95,57.15,53.40,56.50
07-01-2016,56.50,54.05,56.00,54.00,56.00
07-05-2016,56.00,56.00,58.20,54.20,55.80
07-05-2016,55.80,54.20,57.95,54.20,55.00
07-08-2016,55.00,55.00,57.75,55.00,57.50
07-08-2016,57.50,57.95,58.00,56.05,57.80
07-11-2016,57.80,55.00,60.40,55.00,55.15
07-12-2016,55.20,55.20,57.45,55.00,55.05
