Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,5.37,5.16,5.26,5.11,5.25
05-19-2016,5.25,5.00,5.00,4.99,4.99
05-20-2016,4.99,4.75,4.75,4.75,4.75
05-21-2016,4.75,4.52,4.98,4.52,4.78
05-23-2016,4.78,5.00,5.01,4.95,4.97
05-24-2016,4.97,5.19,5.21,4.93,5.21
05-25-2016,5.21,5.37,5.47,5.21,5.47
05-26-2016,5.47,5.67,5.74,5.45,5.74
05-27-2016,5.74,5.89,6.02,5.86,6.02
05-30-2016,6.02,6.20,6.25,5.72,5.72
05-31-2016,5.72,5.44,5.44,5.44,5.44
06-01-2016,5.44,5.17,5.17,5.17,5.17
06-02-2016,5.17,4.92,4.92,4.92,4.92
06-04-2016,4.92,4.43,4.96,4.43,4.43
06-06-2016,4.43,4.62,4.62,3.99,3.99
06-07-2016,4.00,3.99,4.40,3.65,4.09
06-08-2016,4.09,4.09,4.19,3.85,4.09
06-09-2016,4.09,3.90,4.12,3.88,4.01
06-10-2016,4.01,4.00,4.19,3.91,4.06
06-13-2016,4.06,4.00,4.09,3.71,4.03
06-14-2016,4.03,3.85,3.93,3.64,3.75
06-15-2016,3.75,3.67,4.09,3.61,3.84
06-16-2016,3.84,3.75,3.90,3.67,3.85
06-17-2016,3.85,3.75,3.86,3.62,3.83
06-19-2016,3.83,3.80,3.84,3.70,3.77
06-21-2016,3.77,3.82,3.91,3.66,3.82
06-22-2016,3.82,3.75,3.94,3.65,3.81
06-23-2016,3.81,3.89,3.93,3.78,3.84
06-24-2016,3.84,3.75,3.87,3.67,3.84
06-27-2016,3.84,3.85,3.85,3.70,3.79
06-28-2016,3.79,3.83,4.05,3.73,3.79
06-29-2016,3.79,3.81,3.88,3.75,3.76
06-30-2016,3.76,3.87,3.87,3.72,3.75
07-01-2016,3.75,3.80,4.50,3.72,4.50
07-05-2016,4.50,4.68,5.30,4.10,4.17
07-05-2016,4.17,4.17,4.35,4.12,4.22
07-08-2016,4.22,4.30,4.44,3.38,3.40
07-08-2016,3.40,3.30,3.59,3.02,3.45
07-11-2016,3.45,3.45,4.14,3.35,4.11
07-12-2016,4.11,4.15,4.29,3.29,3.34
