Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,32.80,33.00,34.00,31.00,32.35
05-19-2016,32.35,32.25,32.50,30.10,30.65
05-20-2016,30.65,31.00,33.30,30.75,32.10
05-21-2016,32.10,32.80,32.80,30.10,30.60
05-23-2016,30.60,32.95,32.95,30.00,31.80
05-24-2016,31.80,31.30,32.20,30.00,30.15
05-25-2016,30.15,30.05,31.00,29.10,30.30
05-26-2016,30.30,30.40,30.40,29.00,29.35
05-27-2016,29.35,29.35,30.00,29.25,29.55
05-30-2016,29.55,30.60,31.50,29.00,29.45
05-31-2016,29.45,29.65,29.85,29.00,29.40
06-01-2016,29.40,29.55,30.00,28.55,29.00
06-02-2016,29.00,29.70,29.70,28.75,29.05
06-04-2016,29.05,29.80,29.80,28.25,28.45
06-06-2016,28.45,28.20,28.70,26.70,26.90
06-07-2016,27.10,26.60,28.45,25.70,28.20
06-08-2016,28.20,29.00,29.00,28.10,28.75
06-09-2016,28.75,28.75,29.00,27.25,28.95
06-10-2016,28.95,29.00,29.00,27.20,28.15
06-13-2016,28.15,28.65,28.65,26.60,27.00
06-14-2016,27.00,26.15,27.70,26.15,26.70
06-15-2016,26.70,27.00,28.30,26.30,27.00
06-16-2016,27.00,28.25,28.25,27.10,27.85
06-18-2016,27.85,27.85,28.40,27.35,27.40
06-19-2016,27.40,27.75,28.45,27.25,27.65
06-21-2016,27.65,27.05,30.70,27.05,29.95
06-22-2016,29.95,31.05,31.50,29.10,30.05
06-23-2016,30.05,31.50,31.50,29.00,29.55
06-24-2016,29.55,26.60,29.35,26.55,28.70
06-27-2016,28.70,28.60,30.40,28.60,29.70
06-28-2016,29.70,29.55,30.00,29.20,29.65
06-29-2016,29.65,29.95,30.00,28.00,29.05
06-30-2016,29.05,29.65,29.75,28.15,29.05
07-01-2016,29.05,29.95,29.95,28.10,28.85
07-05-2016,28.85,29.50,31.10,29.00,30.55
07-05-2016,30.55,29.75,30.50,29.50,29.95
07-08-2016,29.95,30.10,30.10,29.15,29.65
07-08-2016,29.65,30.00,30.30,29.45,29.50
07-11-2016,29.50,31.90,31.90,28.55,28.90
07-12-2016,28.90,30.10,31.55,30.10,30.80
