Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,48.00,49.00,49.75,45.70,46.30
05-19-2016,46.30,47.40,47.40,46.05,46.75
05-20-2016,46.75,46.00,47.70,43.00,44.10
05-21-2016,44.10,45.70,52.90,43.60,50.45
05-23-2016,50.45,51.70,57.00,47.15,51.45
05-24-2016,51.45,54.00,54.35,48.00,49.05
05-25-2016,49.05,50.70,53.10,50.00,51.85
05-26-2016,51.85,51.00,52.00,49.00,49.20
05-27-2016,49.20,50.40,53.00,50.00,50.85
05-30-2016,50.85,50.80,51.90,49.10,49.60
05-31-2016,49.60,49.60,49.60,46.55,47.10
06-01-2016,47.10,47.20,49.35,44.50,46.85
06-02-2016,46.85,48.20,48.95,45.40,46.10
06-04-2016,46.10,45.90,48.40,45.90,46.65
06-06-2016,46.65,46.80,47.70,46.00,46.25
06-07-2016,46.25,46.40,46.50,44.50,45.70
06-08-2016,45.70,46.95,47.00,45.10,45.75
06-09-2016,45.75,46.00,47.95,46.00,46.45
06-10-2016,46.45,45.75,47.00,45.40,45.55
06-13-2016,45.55,45.00,45.40,43.60,44.60
06-14-2016,44.60,44.00,45.80,41.30,41.60
06-15-2016,41.60,42.80,42.80,37.50,38.20
06-16-2016,38.20,38.00,38.00,35.50,35.90
06-17-2016,35.90,36.40,36.65,32.50,33.00
06-19-2016,33.00,32.20,39.60,30.55,39.60
06-21-2016,39.60,41.70,44.80,41.20,41.70
06-22-2016,41.70,41.05,41.50,38.00,39.55
06-23-2016,39.55,40.50,41.00,39.00,39.60
06-24-2016,39.60,39.00,39.00,34.20,38.75
06-27-2016,38.75,39.80,42.25,39.20,40.50
06-28-2016,40.50,40.00,41.95,39.05,40.25
06-29-2016,40.25,40.25,47.40,39.00,46.50
06-30-2016,46.50,46.45,49.60,43.65,47.20
07-01-2016,47.20,47.20,49.50,46.10,46.95
07-05-2016,46.95,51.00,51.00,47.50,48.20
07-05-2016,48.20,48.80,49.30,46.00,46.40
07-08-2016,46.40,46.90,48.50,45.55,45.80
07-08-2016,45.80,46.40,48.00,45.50,46.45
07-11-2016,46.45,47.75,47.75,45.70,45.90
07-12-2016,45.90,47.00,47.00,44.20,45.20
