Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,62.75,63.20,63.30,62.05,62.40
05-19-2016,62.40,61.30,62.10,60.75,61.10
05-19-2016,61.10,62.60,65.45,61.10,61.50
05-20-2016,61.50,62.90,63.40,61.90,62.45
05-23-2016,62.45,62.05,64.50,61.20,61.70
05-24-2016,61.70,61.00,61.00,56.15,57.35
05-25-2016,57.35,57.50,58.55,56.80,57.15
05-26-2016,57.15,57.20,58.10,56.20,56.50
05-27-2016,56.50,56.50,56.50,54.00,54.65
05-30-2016,54.65,55.90,56.95,55.50,55.85
05-31-2016,55.85,55.90,59.50,55.35,58.95
06-01-2016,58.95,60.00,63.00,58.85,61.65
06-02-2016,61.65,62.60,63.00,60.05,60.40
06-04-2016,60.40,61.30,64.15,61.30,61.90
06-06-2016,61.90,62.00,63.90,60.30,60.70
06-07-2016,61.55,62.00,62.95,61.00,61.35
06-08-2016,61.35,61.75,61.75,59.25,60.35
06-09-2016,60.35,61.30,61.30,59.10,59.80
06-10-2016,59.80,60.85,62.60,60.10,61.40
06-13-2016,61.40,66.00,67.90,61.50,62.05
06-14-2016,62.05,62.65,62.80,59.00,59.35
06-15-2016,59.35,59.85,60.90,58.75,59.05
06-16-2016,59.05,60.00,60.00,57.00,57.50
06-17-2016,57.50,58.00,58.90,56.85,57.15
06-19-2016,57.15,56.50,59.25,56.50,58.05
06-21-2016,58.05,57.50,58.50,57.05,57.60
06-22-2016,57.60,57.55,60.40,57.55,59.95
06-23-2016,59.95,58.95,60.70,58.40,59.95
06-24-2016,59.95,58.70,60.20,57.05,59.70
06-27-2016,59.70,59.50,60.00,59.00,59.05
06-28-2016,59.05,59.75,59.75,58.00,58.15
06-29-2016,58.15,58.25,59.05,57.60,58.65
06-30-2016,58.65,59.00,59.85,58.50,59.00
07-01-2016,59.00,59.00,59.20,58.50,58.55
07-05-2016,58.55,59.50,60.00,58.70,59.30
07-05-2016,59.30,59.15,59.35,59.00,59.10
07-07-2016,59.10,59.00,59.30,58.50,58.55
07-08-2016,58.55,59.00,59.10,58.50,58.50
07-11-2016,58.50,59.15,59.30,58.50,59.00
07-12-2016,59.00,61.00,61.00,58.15,58.60
