Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,56.25,56.25,56.25,56.25,56.25
05-19-2016,56.25,56.25,56.25,56.25,56.25
05-20-2016,56.25,56.25,56.25,56.25,56.25
05-21-2016,56.25,57.00,57.00,56.25,56.25
05-23-2016,56.25,56.30,56.30,56.25,56.25
05-24-2016,56.25,56.25,59.60,54.10,54.10
05-25-2016,54.10,59.00,59.85,56.00,56.00
05-26-2016,56.00,56.00,56.10,56.00,56.00
05-27-2016,56.00,56.00,56.50,56.00,56.00
05-30-2016,56.00,56.00,56.00,56.00,56.00
05-31-2016,56.00,56.00,56.00,56.00,56.00
06-01-2016,56.00,56.00,56.00,56.00,56.00
06-02-2016,56.00,56.00,56.00,56.00,56.00
06-04-2016,56.00,58.75,59.85,55.50,55.50
06-06-2016,55.50,54.25,54.45,54.25,54.45
06-07-2016,54.45,54.65,54.65,54.65,54.65
06-08-2016,54.65,54.35,54.35,54.35,54.35
06-09-2016,54.35,53.60,54.70,53.60,54.70
06-10-2016,54.70,53.05,53.05,53.00,53.00
06-13-2016,54.70,53.05,53.05,53.00,53.00
06-14-2016,53.00,53.05,58.20,53.05,57.90
06-15-2016,57.90,58.20,58.50,56.00,58.50
06-16-2016,58.50,53.20,53.20,53.20,53.20
06-17-2016,53.20,53.65,54.35,53.65,54.35
06-19-2016,54.35,53.45,53.65,53.45,53.65
06-21-2016,53.65,53.20,53.20,53.20,53.20
06-22-2016,53.20,53.20,53.20,53.00,53.00
06-23-2016,53.00,53.10,57.50,53.00,54.15
06-24-2016,53.00,53.10,57.50,53.00,54.15
06-27-2016,54.15,55.00,57.40,53.05,57.40
06-28-2016,57.40,55.05,58.45,55.05,55.10
06-29-2016,57.40,55.05,58.45,55.05,55.10
06-30-2016,55.10,54.60,59.70,54.60,54.65
07-01-2016,54.65,55.30,55.30,55.30,55.30
07-05-2016,55.30,55.05,55.05,55.00,55.00
07-05-2016,55.00,55.00,57.50,55.00,55.00
07-08-2016,55.00,55.10,57.30,55.00,55.00
07-08-2016,55.00,55.10,57.30,55.00,55.00
07-11-2016,55.00,57.65,57.65,55.05,57.00
07-12-2016,57.00,55.60,55.60,55.40,55.40
