Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,24.00,24.40,24.50,24.00,24.10
05-19-2016,24.10,24.40,24.65,23.60,24.00
05-20-2016,24.00,24.30,24.65,22.90,23.80
05-21-2016,23.80,24.30,24.55,24.00,24.30
05-23-2016,24.30,24.70,24.80,23.30,23.35
05-24-2016,23.35,23.55,24.00,23.50,24.00
05-25-2016,24.00,24.00,24.90,23.80,24.35
05-26-2016,24.35,24.70,24.75,24.25,24.70
05-27-2016,24.70,25.20,25.20,24.00,24.75
05-30-2016,24.75,24.90,25.05,24.50,24.75
05-31-2016,24.75,24.70,24.90,24.35,24.45
06-01-2016,24.45,24.60,24.95,23.50,24.70
06-02-2016,24.70,24.80,25.25,23.65,24.70
06-04-2016,24.70,25.00,25.00,24.00,24.05
06-06-2016,24.05,25.00,26.45,25.00,26.10
06-07-2016,26.10,26.30,27.75,26.00,26.55
06-08-2016,26.55,26.75,27.00,26.35,26.90
06-09-2016,26.90,27.20,27.25,26.00,26.35
06-10-2016,26.35,26.70,26.90,25.85,26.30
06-13-2016,26.30,26.50,26.50,25.75,26.20
06-14-2016,26.20,26.45,26.75,25.70,26.05
06-15-2016,26.05,26.50,28.00,25.95,27.85
06-16-2016,27.85,28.10,28.55,27.60,27.80
06-17-2016,27.80,28.00,28.25,27.60,28.00
06-19-2016,28.00,28.25,28.25,26.90,28.10
06-21-2016,28.10,28.25,28.40,28.00,28.15
06-22-2016,28.15,28.40,28.90,28.00,28.00
06-23-2016,28.00,28.25,29.25,28.15,29.00
06-24-2016,29.00,28.85,28.85,28.00,28.50
06-27-2016,28.50,28.75,28.90,28.60,28.90
06-28-2016,28.90,29.20,29.85,29.00,29.10
06-29-2016,29.10,29.15,30.25,28.85,30.05
06-30-2016,30.05,30.30,31.15,29.00,30.85
07-01-2016,30.85,31.50,33.40,31.50,32.30
07-05-2016,32.30,32.65,34.20,32.50,33.65
07-05-2016,33.65,33.85,34.50,33.30,33.35
07-08-2016,33.35,33.70,36.00,33.70,34.70
07-08-2016,34.70,35.00,35.35,34.60,34.60
07-11-2016,34.60,34.80,36.15,34.75,35.50
07-12-2016,35.45,35.75,36.30,34.85,36.00
