Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,95.15,95.80,99.00,95.10,97.95
05-19-2016,97.95,98.00,104.25,97.10,100.35
05-20-2016,100.35,101.00,103.20,99.60,100.10
05-21-2016,100.10,100.05,100.85,99.00,99.85
05-23-2016,99.85,100.35,102.40,99.00,99.75
05-24-2016,99.75,99.75,101.05,99.50,100.00
05-25-2016,100.00,101.15,102.90,100.30,101.20
05-26-2016,101.20,101.25,101.90,100.00,100.40
05-27-2016,100.40,101.25,101.30,100.00,100.05
05-30-2016,100.05,102.95,102.95,100.00,100.10
05-31-2016,100.10,101.00,104.90,99.00,104.10
06-01-2016,104.10,105.30,107.70,105.00,105.50
06-02-2016,105.50,104.10,107.30,104.10,106.55
06-04-2016,106.55,107.00,108.80,105.50,107.45
06-06-2016,107.45,107.30,108.10,105.90,107.10
06-07-2016,107.10,107.80,109.00,106.70,107.70
06-08-2016,107.70,107.70,107.70,104.80,105.30
06-09-2016,105.30,107.40,109.70,106.50,107.20
06-10-2016,107.20,108.40,113.90,108.30,112.60
06-13-2016,112.60,113.30,115.65,111.50,113.50
06-14-2016,113.50,114.00,119.90,114.00,117.30
06-15-2016,117.30,118.10,118.10,112.40,113.35
06-16-2016,113.35,112.75,112.75,106.95,108.75
06-17-2016,108.75,109.40,112.75,109.10,109.95
06-19-2016,109.95,109.10,109.10,106.15,106.85
06-21-2016,106.85,107.15,110.50,105.25,109.15
06-22-2016,109.15,111.80,113.80,105.20,106.00
06-23-2016,106.00,106.10,107.75,105.00,105.70
06-24-2016,105.70,103.30,107.00,98.75,104.00
06-27-2016,104.00,105.00,105.80,104.00,104.35
06-28-2016,104.35,104.75,105.05,102.10,102.35
06-29-2016,102.35,103.90,106.25,103.80,104.95
06-30-2016,104.95,105.35,109.65,104.70,108.55
07-01-2016,108.55,109.30,110.65,106.00,107.25
07-05-2016,107.25,107.80,108.50,106.20,107.40
07-05-2016,107.40,107.35,108.15,104.90,105.75
07-08-2016,105.75,105.75,109.70,105.75,109.15
07-08-2016,109.15,109.70,111.50,108.45,109.30
07-11-2016,109.30,111.85,111.85,108.55,109.30
07-12-2016,109.30,110.75,111.55,109.30,110.95
