Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,1886.50,1900.00,2029.00,1700.00,1716.25
05-19-2016,1716.25,1905.00,2059.50,1905.00,1985.25
05-20-2016,1985.25,2101.00,2183.50,2007.00,2066.50
05-21-2016,2066.50,2078.75,2140.00,1960.00,2081.25
05-23-2016,2081.25,2140.00,2165.00,2050.00,2063.25
05-24-2016,2063.25,2050.00,2065.00,2025.00,2032.55
05-25-2016,2032.55,2099.00,2099.00,2029.95,2063.60
05-26-2016,2063.60,2088.00,2089.00,2015.00,2050.40
05-27-2016,2050.40,2100.00,2127.00,2055.00,2097.75
05-30-2016,2097.75,2110.00,2115.00,2001.00,2050.50
05-31-2016,2050.50,2040.00,2055.00,2020.00,2050.20
06-01-2016,2050.20,2065.00,2065.00,2035.05,2050.00
06-02-2016,2050.00,2060.00,2060.00,2021.80,2033.45
06-04-2016,2033.45,2029.00,2065.00,2020.00,2050.30
06-06-2016,2050.30,2029.80,2045.00,1975.00,1986.80
06-07-2016,1986.80,2020.00,2040.00,1970.00,1972.30
06-08-2016,1972.30,1972.00,1990.00,1945.00,1963.60
06-09-2016,1963.60,1969.10,1969.10,1915.00,1922.50
06-10-2016,1922.50,1922.65,1935.00,1890.00,1903.45
06-13-2016,1903.45,1915.00,1934.95,1865.10,1876.65
06-14-2016,1876.65,1885.00,2022.00,1885.00,1998.20
06-15-2016,1998.20,2005.00,2040.05,1980.00,2031.05
06-16-2016,2031.05,2024.95,2070.00,2024.95,2050.00
06-17-2016,2050.00,2009.00,2044.00,2009.00,2031.85
06-19-2016,2031.85,2000.00,2014.95,1970.00,1997.85
06-21-2016,1997.85,2000.00,2005.00,1985.00,1996.60
06-22-2016,1996.60,2000.00,2030.00,1980.00,2015.80
06-23-2016,2015.80,2000.75,2000.75,1970.00,1982.40
06-24-2016,1982.40,1975.00,2010.00,1920.00,2009.05
06-27-2016,2009.05,2025.00,2045.00,2000.00,2007.05
06-28-2016,2007.05,2005.05,2005.05,1980.00,1992.80
06-29-2016,1992.80,1940.00,2020.00,1940.00,2010.25
06-30-2016,2010.25,1980.00,2045.00,1980.00,2039.95
07-01-2016,2039.95,2040.00,2040.00,2000.00,2005.05
07-05-2016,2005.05,1975.05,2019.80,1975.00,2010.30
07-05-2016,2010.30,1982.30,2030.00,1982.30,2000.00
07-08-2016,2000.00,2010.00,2035.00,1982.35,1999.40
07-08-2016,1999.40,1985.05,2019.90,1980.15,2003.30
07-11-2016,2003.30,2021.00,2045.00,2020.00,2039.00
07-12-2016,2039.60,2051.00,2051.00,2020.00,2030.25
