Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,0.70,0.72,0.72,0.67,0.70
05-19-2016,0.70,0.63,0.67,0.63,0.63
05-20-2016,0.63,0.68,0.68,0.65,0.65
05-20-2016,0.65,0.59,0.65,0.59,0.59
05-23-2016,0.59,0.61,0.61,0.57,0.60
05-24-2016,0.60,0.60,0.60,0.58,0.58
05-25-2016,0.58,0.60,0.60,0.56,0.60
05-26-2016,0.60,0.63,0.63,0.57,0.57
05-27-2016,0.57,0.55,0.55,0.55,0.55
05-30-2016,0.55,0.55,0.55,0.53,0.53
05-31-2016,0.53,0.51,0.55,0.51,0.51
06-01-2016,0.51,0.51,0.51,0.49,0.49
06-02-2016,0.49,0.47,0.47,0.47,0.47
06-04-2016,0.47,0.45,0.45,0.45,0.45
06-06-2016,0.45,0.43,0.43,0.43,0.43
06-07-2016,0.43,0.41,0.41,0.41,0.41
06-08-2016,0.41,0.39,0.39,0.39,0.39
06-09-2016,0.39,0.38,0.38,0.38,0.38
06-10-2016,0.38,0.37,0.37,0.37,0.37
06-13-2016,0.37,0.36,0.36,0.36,0.36
06-14-2016,0.36,0.36,0.36,0.36,0.36
06-15-2016,0.36,0.36,0.36,0.36,0.36
06-16-2016,0.36,0.36,0.36,0.36,0.36
06-17-2016,0.36,0.36,0.36,0.36,0.36
06-19-2016,0.36,0.36,0.37,0.36,0.37
06-21-2016,0.37,0.38,0.38,0.36,0.37
06-22-2016,0.37,0.37,0.38,0.37,0.37
06-23-2016,0.37,0.38,0.38,0.36,0.36
06-24-2016,0.36,0.37,0.37,0.37,0.37
06-27-2016,0.37,0.38,0.38,0.37,0.38
06-28-2016,0.38,0.38,0.38,0.38,0.38
06-29-2016,0.38,0.39,0.39,0.39,0.39
06-30-2016,0.39,0.40,0.40,0.40,0.40
07-01-2016,0.40,0.40,0.42,0.40,0.42
07-05-2016,0.42,0.42,0.42,0.40,0.42
07-05-2016,0.42,0.41,0.41,0.40,0.40
07-08-2016,0.40,0.42,0.42,0.39,0.40
07-08-2016,0.40,0.38,0.42,0.38,0.42
07-11-2016,0.42,0.44,0.44,0.40,0.44
07-12-2016,0.44,0.43,0.46,0.42,0.46
