Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,63.00,64.70,66.00,63.50,64.75
05-19-2016,64.75,66.50,68.00,65.50,66.00
05-20-2016,64.75,66.50,68.00,65.50,66.00
05-21-2016,64.75,66.50,68.00,65.50,66.00
05-23-2016,66.00,69.00,69.00,68.00,68.00
05-24-2016,68.00,65.05,65.05,64.60,64.80
05-25-2016,64.80,64.00,64.00,64.00,64.00
05-26-2016,64.00,65.00,65.00,65.00,65.00
05-27-2016,64.00,65.00,65.00,65.00,65.00
05-30-2016,64.00,65.00,65.00,65.00,65.00
05-31-2016,64.00,65.00,65.00,65.00,65.00
06-01-2016,64.00,65.00,65.00,65.00,65.00
06-02-2016,64.00,65.00,65.00,65.00,65.00
06-04-2016,65.00,62.00,62.15,62.00,62.15
06-06-2016,62.15,65.00,65.00,63.00,63.00
06-07-2016,62.15,65.00,65.00,63.00,63.00
06-08-2016,63.00,66.50,70.00,66.50,70.00
06-09-2016,63.00,66.50,70.00,66.50,70.00
06-10-2016,63.00,66.50,70.00,66.50,70.00
06-13-2016,70.00,62.25,62.25,62.10,62.20
06-14-2016,62.20,62.50,62.50,62.00,62.00
06-15-2016,62.00,64.00,64.00,64.00,64.00
06-16-2016,64.00,60.00,60.00,60.00,60.00
06-17-2016,64.00,60.00,60.00,60.00,60.00
06-19-2016,64.00,60.00,60.00,60.00,60.00
06-21-2016,60.00,61.00,61.00,59.80,59.80
06-22-2016,60.00,61.00,61.00,59.80,59.80
06-23-2016,60.00,61.00,61.00,59.80,59.80
06-24-2016,60.00,61.00,61.00,59.80,59.80
06-27-2016,59.80,62.95,62.95,62.50,62.50
06-28-2016,59.80,62.95,62.95,62.50,62.50
06-29-2016,59.80,62.95,62.95,62.50,62.50
06-30-2016,59.80,62.95,62.95,62.50,62.50
07-01-2016,59.80,62.95,62.95,62.50,62.50
07-05-2016,62.50,61.00,61.00,60.00,60.00
07-05-2016,62.50,61.00,61.00,60.00,60.00
07-08-2016,60.00,62.90,65.50,62.90,65.50
07-08-2016,65.50,65.00,65.00,64.00,64.00
07-11-2016,64.00,62.00,62.00,61.70,61.70
07-12-2016,64.00,62.00,62.00,61.70,61.70
