Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,42.15,44.90,44.90,41.60,42.70
05-19-2016,42.70,43.50,43.60,42.40,42.85
05-19-2016,42.85,41.25,43.20,41.20,42.90
05-20-2016,42.90,43.50,43.50,41.40,42.00
05-23-2016,42.00,42.95,42.95,41.15,41.65
05-24-2016,41.65,41.20,42.40,41.20,41.70
05-25-2016,41.70,42.00,42.05,42.00,42.00
05-26-2016,42.00,40.25,43.00,40.25,42.80
05-27-2016,42.80,41.00,43.00,40.00,42.05
05-30-2016,42.05,40.80,43.00,40.80,43.00
05-31-2016,43.00,42.00,42.00,42.00,42.00
06-01-2016,42.00,41.70,44.35,41.60,42.95
06-02-2016,42.95,42.00,43.25,41.75,42.55
06-04-2016,42.55,41.15,43.00,41.15,41.70
06-06-2016,41.70,42.95,42.95,42.10,42.85
06-07-2016,42.85,43.50,43.60,42.10,43.55
06-08-2016,43.55,42.00,42.90,42.00,42.90
06-09-2016,42.90,42.75,44.00,42.15,43.15
06-10-2016,43.15,43.95,43.95,42.75,43.00
06-13-2016,43.00,42.90,43.95,42.90,43.95
06-14-2016,43.95,42.10,43.95,40.80,41.50
06-15-2016,41.50,42.25,42.55,42.25,42.55
06-16-2016,42.55,42.35,42.80,42.10,42.80
06-17-2016,42.80,42.25,42.30,42.10,42.10
06-19-2016,42.10,41.50,43.00,41.40,41.65
06-21-2016,41.65,43.95,44.00,42.30,43.75
06-22-2016,43.75,44.25,44.25,42.15,42.90
06-23-2016,42.90,41.70,42.95,41.70,41.70
06-24-2016,41.70,41.00,41.95,40.40,40.40
06-27-2016,40.40,40.70,41.10,40.70,41.00
06-28-2016,41.00,42.00,42.00,41.00,41.10
06-29-2016,41.10,41.25,42.90,41.25,42.30
06-30-2016,42.30,41.30,43.00,41.30,43.00
07-01-2016,43.00,41.00,42.95,41.00,42.95
07-05-2016,42.95,43.70,43.80,42.70,43.65
07-05-2016,43.65,44.35,46.50,43.50,45.00
07-07-2016,45.00,46.90,47.40,44.90,46.05
07-08-2016,46.05,47.50,49.80,46.35,49.00
07-11-2016,49.00,50.40,51.95,50.00,50.50
07-12-2016,50.50,49.00,51.00,43.95,47.55
