Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,960.90,965.00,980.25,961.00,970.25
05-19-2016,970.25,970.00,1045.00,962.00,1020.40
05-20-2016,1020.40,1020.00,1020.00,980.00,982.95
05-20-2016,982.95,980.00,988.00,970.10,981.30
05-23-2016,981.30,970.00,977.50,958.90,970.00
05-24-2016,970.00,955.10,978.00,952.00,958.45
05-25-2016,958.45,960.00,967.55,947.05,951.25
05-26-2016,951.25,956.65,976.90,953.00,965.10
05-27-2016,965.10,968.10,970.00,963.05,966.75
05-30-2016,966.75,962.00,990.00,957.00,964.20
05-31-2016,964.20,979.00,979.00,948.00,954.15
06-01-2016,954.15,950.05,958.85,946.15,946.50
06-02-2016,946.50,958.90,959.35,930.00,938.05
06-04-2016,938.05,945.70,954.20,916.00,921.45
06-06-2016,921.45,930.00,936.20,915.00,930.00
06-07-2016,924.30,935.00,950.00,930.00,945.65
06-08-2016,945.65,943.50,947.05,925.00,945.05
06-09-2016,945.05,949.15,954.95,926.00,936.65
06-10-2016,936.65,934.10,955.00,934.10,946.35
06-13-2016,946.35,949.70,949.75,937.50,944.85
06-14-2016,944.85,948.80,955.00,945.00,948.15
06-15-2016,948.15,955.50,989.80,949.85,954.30
06-16-2016,954.30,955.50,1008.00,939.60,964.20
06-17-2016,964.20,970.50,970.50,955.00,962.95
06-19-2016,962.95,965.00,970.00,960.00,961.55
06-21-2016,961.55,970.25,973.95,965.00,968.00
06-22-2016,968.00,973.00,973.00,965.00,966.50
06-23-2016,966.50,960.00,973.15,959.00,970.10
06-24-2016,970.10,942.85,969.05,940.00,965.25
06-27-2016,965.25,970.00,973.00,960.00,964.25
06-28-2016,964.25,956.80,966.95,955.00,961.10
06-29-2016,961.10,967.50,972.00,956.75,965.85
06-30-2016,965.85,969.50,999.00,960.00,971.25
07-01-2016,971.25,982.00,998.40,972.55,978.75
07-05-2016,978.75,990.10,1071.00,985.05,1038.70
07-05-2016,1038.70,1060.00,1086.65,1040.00,1074.05
07-08-2016,1074.05,1074.00,1074.50,1052.85,1057.70
07-08-2016,1057.70,1051.20,1051.20,1015.80,1038.20
07-11-2016,1038.20,1050.00,1050.55,990.65,1012.00
07-12-2016,1012.00,1016.35,1025.35,1001.60,1007.05
